InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Basic_A0,,,1.0,0.75,,0.018,0.0029,centralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.0029,eastus,V1
Basic_A0,,,1.0,0.75,,0.018,0.0029,eastus2,V1
Basic_A0,,,1.0,0.75,,0.018,0.0029,northcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.0029,southcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.0029,westcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.0029,westus,V1
Basic_A0,,,1.0,0.75,,0.018,0.0029,westus2,V1
Basic_A1,,,1.0,1.75,,0.025,0.004028,centralus,V1
Basic_A1,,,1.0,1.75,,0.023,0.003705,eastus,V1
Basic_A1,,,1.0,1.75,,0.024,0.003866,eastus2,V1
Basic_A1,,,1.0,1.75,,0.023,0.003705,northcentralus,V1
Basic_A1,,,1.0,1.75,,0.025,0.004028,southcentralus,V1
Basic_A1,,,1.0,1.75,,0.025,0.004028,westcentralus,V1
Basic_A1,,,1.0,1.75,,0.031,0.004994,westus,V1
Basic_A1,,,1.0,1.75,,0.023,0.003705,westus2,V1
Basic_A2,,,2.0,3.5,,0.085,0.013694,centralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.012727,eastus,V1
Basic_A2,,,2.0,3.5,,0.068,0.010955,eastus2,V1
Basic_A2,,,2.0,3.5,,0.085,0.013694,northcentralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.012727,southcentralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.012727,westcentralus,V1
Basic_A2,,,2.0,3.5,,0.081,0.013049,westus,V1
Basic_A2,,,2.0,3.5,,0.068,0.010955,westus2,V1
Basic_A3,,,4.0,7,,0.188,0.030287,centralus,V1
Basic_A3,,,4.0,7,,0.176,0.028354,eastus,V1
Basic_A3,,,4.0,7,,0.176,0.028354,eastus2,V1
Basic_A3,,,4.0,7,,0.188,0.030287,northcentralus,V1
Basic_A3,,,4.0,7,,0.176,0.028354,southcentralus,V1
Basic_A3,,,4.0,7,,0.176,0.028354,westcentralus,V1
Basic_A3,,,4.0,7,,0.188,0.030287,westus,V1
Basic_A3,,,4.0,7,,0.176,0.028354,westus2,V1
Basic_A4,,,8.0,14,,0.376,0.060574,centralus,V1
Basic_A4,,,8.0,14,,0.352,0.056707,eastus,V1
Basic_A4,,,8.0,14,,0.352,0.056707,eastus2,V1
Basic_A4,,,8.0,14,,0.376,0.060574,northcentralus,V1
Basic_A4,,,8.0,14,,0.352,0.056707,southcentralus,V1
Basic_A4,,,8.0,14,,0.352,0.056707,westcentralus,V1
Basic_A4,,,8.0,14,,0.376,0.060574,westus,V1
Basic_A4,,,8.0,14,,0.352,0.056707,westus2,V1
Standard_A0,,,1.0,0.75,,0.02,0.003222,centralus,V1
Standard_A0,,,1.0,0.75,,0.02,0.003222,eastus,V1
Standard_A0,,,1.0,0.75,,0.02,0.003222,eastus2,V1
Standard_A0,,,1.0,0.75,,0.02,0.003222,northcentralus,V1
Standard_A0,,,1.0,0.75,,0.02,0.003222,southcentralus,V1
Standard_A0,,,1.0,0.75,,0.02,0.003222,westcentralus,V1
Standard_A0,,,1.0,0.75,,0.02,0.003222,westus,V1
Standard_A0,,,1.0,0.75,,0.02,0.003222,westus2,V1
Standard_A1,,,1.0,1.75,,0.06,0.009666,centralus,V1
Standard_A1,,,1.0,1.75,,0.06,0.009666,eastus,V1
Standard_A1,,,1.0,1.75,,0.06,0.009666,eastus2,V1
Standard_A1,,,1.0,1.75,,0.06,0.009666,northcentralus,V1
Standard_A1,,,1.0,1.75,,0.06,0.009666,southcentralus,V1
Standard_A1,,,1.0,1.75,,0.051,0.008216,westcentralus,V1
Standard_A1,,,1.0,1.75,,0.06,0.009666,westus,V1
Standard_A1,,,1.0,1.75,,0.051,0.008216,westus2,V1
Standard_A1_v2,,,1.0,2,,0.043,0.004364,centralus,V1
Standard_A1_v2,,,1.0,2,,0.043,0.018051,eastus,V1
Standard_A1_v2,,,1.0,2,,0.043,0.016215,eastus2,V1
Standard_A1_v2,,,1.0,2,,0.043,0.004536,northcentralus,V1
Standard_A1_v2,,,1.0,2,,0.043,0.008131,southcentralus,V1
Standard_A1_v2,,,1.0,2,,0.04,0.005764,westcentralus,V1
Standard_A1_v2,,,1.0,2,,0.043,0.00562,westus,V1
Standard_A1_v2,,,1.0,2,,0.036,0.006012,westus2,V1
Standard_A2,,,2.0,3.5,,0.12,0.019332,centralus,V1
Standard_A2,,,2.0,3.5,,0.12,0.019332,eastus,V1
Standard_A2,,,2.0,3.5,,0.12,0.019332,eastus2,V1
Standard_A2,,,2.0,3.5,,0.12,0.019332,northcentralus,V1
Standard_A2,,,2.0,3.5,,0.12,0.019332,southcentralus,V1
Standard_A2,,,2.0,3.5,,0.101,0.016271,westcentralus,V1
Standard_A2,,,2.0,3.5,,0.12,0.019332,westus,V1
